name,avg_latency,min_latency,max_latency,energy,power,runtime
S-C-100-1,3.87,2.36,5.75,291.407,2.297,100.146
R-C-100-1,3.87,2.36,5.75,314.812,3.03,104.009
S-C-100-10,3.74,1.77,9.4,37.613,4.402,10.161
R-C-100-10,3.74,1.77,9.4,67.2,4.5,14.91
S-C-100-100,2.06,1.43,6.16,6.235,6.579,1.166
R-C-100-100,2.06,1.43,6.16,41.276,6.926,5.885
S-C-1000-10,3.68,1.62,9.94,348.065,3.56,100.141
R-C-1000-10,3.68,1.62,9.94,378.568,3.619,104.915
S-C-1000-100,2.48,1.49,6.36,50.508,5.227,10.156
R-C-1000-100,2.48,1.49,6.36,87.625,5.968,14.814
S-C-10000-0,1.83,1.13,57.45,222.188,6.551,33.974
R-C-10000-0,1.83,1.13,57.45,252.105,6.485,38.885
S-C-100000-0,-,-,-,2317,6.357,364.663
R-C-100000-0,-,-,-,2908,5.027,498.847
S-C-100000-0conc100,1.52,0.96,363.19,879.245,8.925,190.426
R-C-100000-0conc100,1.52,0.96,363.19,1732,8.846,195.882
S-M-100-1,0.63,0.36,0.99,323.682,3.247,100.521
R-M-100-1,0.63,0.36,0.99,353.39,3.4,105.387
S-M-100-10,0.84,0.36,3.37,42.081,4.144,10.516
R-M-100-10,0.84,0.36,3.37,87.734,5.768,16.295
S-M-100-100,1.27,0.35,31.17,10,6.146,1.493
R-M-100-100,1.27,0.35,31.17,53.51,7.941,7.241
S-M-1000-10,0.88,0.38,7.73,343.648,3.452,100.512
R-M-1000-10,0.88,0.38,7.73,384.086,3.717,106.253
S-M-1000-100,0.86,0.31,35.95,45.705,4.455,10.496
R-M-1000-100,0.86,0.31,35.95,89.427,5.832,16.372
S-M-10000-0,0.63,0.18,42.41,87.84,6.033,14.767
R-M-10000-0,0.63,0.18,42.41,129.297,6.46,20.642
S-M-100000-0,0.58,0.17,43.69,798.779,5.606,143.28
R-M-100000-0,0.58,0.17,43.69,840.41,5.713,149.147
S-M-100000-0conc100,1.07,0.14,70.58,213.228,13.756,15.438
R-M-100000-0conc100,1.07,0.14,70.58,256.35,12.1,21.164
S-H-100-1,1.61,0.8,4.56,324.737,3.287,100.174
R-H-100-1,1.61,0.8,4.56,347.186,3.397,104.056
S-H-100-10,1.57,0.67,4.64,37.018,4.236,10.174
R-H-100-10,1.57,0.67,4.64,67.361,4.536,14.947
S-H-100-100,1.35,0.67,4.57,5.829,5.816,1.186
R-H-100-100,1.35,0.67,4.57,35.969,5.94,5.931
S-H-1000-10,1.49,0.53,5.47,344.82,3.512,100.195
R-H-1000-10,1.49,0.53,5.47,374.835,3.584,104.956
S-H-1000-100,1.39,0.59,4.69,41.234,4.308,10.193
R-H-1000-100,1.39,0.59,4.69,72.864,5.339,15.04
S-H-10000-0,0.51,0.34,26.57,219.675,11.944,18.284
R-H-10000-0,0.51,0.34,26.57,247.449,10.66,23.152
S-H-100000-0,0.52,0.33,27.35,2372,11.915,199.204
R-H-100000-0,0.52,0.33,27.35,2400,11.751,204.11
S-H-100000-0conc100,0.73,0.3,114.35,786.879,12.891,59.653
R-H-100000-0conc100,0.73,0.3,114.35,853.374,11.286,74.978